id,timestamp,machine_id,cpu_usage,memory_usage
999998,11280000,05b87dd5efe37db3656d63965c96a3154162f24a157d0e60e6ea243df125db71,0.6060619840559343,0.47566745737078264
999999,11280000,701ffa4a45a61898d7bf93766e3c68f4996a85d479cdacd16c5da917d62580a3,0.6474489303555071,0.19496365379418457
1000000,11280000,6717fe514a9d06467cbe1819ac62e0e81ef36b72ae6b5a4ffdb730d79b9f007b,0.6499216673838979,0.07886935600139111
1000001,11280000,137d35418fca4095c384ee41b08a1781bf41798667b42d048ac4db73affc4592,0.6895161505345273,0.26054162844791495
1000002,11280000,4e7b7de48adf4946737b4b88454df22e2a3001119b9b240c17e9d73c1a2590c1,0.7606090521776712,0.7329033285276081
1000003,11280000,1d25590c5ae47caf93889189a544e623a8e55aadbc99b6687865962507bf5029,0.689002627610598,0.2549115882086408
1000004,11280000,fb5e6d0ab23fb524e001643bc733d513689931574a11f332f667f9ea59a75e43,0.7024477155202071,0.7565012616827076
1000005,11280000,58021f275bf5bec6701b3e54c254cff6436026d255f97eae1f739f931d2dc9a7,0.6089511413865236,0.4351221851702496
1000006,11280000,c682e555b072d2530c457c55bd381f4213188e70998412d837fa74d18b202af1,0.6532247649743439,0.6840203390912292
1000007,11280000,e7c5f0b9f431bc08b79758371a6593040b1504518870fa3e3ef98a16779c42d9,0.7343668844053253,0.4536073581382132
1000008,11280000,e4d6e1ae41c2539e7255c65bb21b0e09d36daef8350a6f58d2f07ded5f106540,0.5789768690428871,0.632726908808813
1000009,11280000,13ce281f679dfd9f0b0c32a8462f671c86266e52c0f6d4265ce8cd01dd7038ad,0.9017992726086299,0.51976521413836
1000010,11280000,d5c7783ceb018410f05fe8ea4c3b30d16754365ed53ad06038020f712302005c,0.7654398488237883,0.6031700100187791
1000012,11280000,0566bc756a994bf2e8f1f2abf98a07f475de3f4113589f11dc70067d19a79b75,0.7196634601549712,0.3840626566110297
1000013,11280000,ca48180e8451a859e8ef285a19e1ff46d02a7977237f9a8ae7a920fbbfcbf901,0.6247116200349152,0.546043261828185
1000014,11280000,7cd3fce97783d1bc73c82744b8e6427887a290c2c90e066d3f2fb0e9a9271690,0.6731810569884487,0.5462386195449946
1000015,11280000,cfaa4099c9f154d98895fc33c84616242d5b7fff5c07c29b9c5bcdfb13292aab,0.7281064644331985,0.2629034689648737
1000016,11280000,88dfb5087d7d5bddcb715103e3b1cf17c1f3dc850e539db12bd3a1124340bc4b,0.6149184972248907,0.6573137045164144
1000017,11280000,71c0cbd95988721a70de51972df82fb1a2a626b1d829fbc2b5111720aca94a76,0.7646506351856659,0.5694983789710024
1000018,11280000,1729406bc73e659bbf3e13a9aca0ebe0a8a6a557e2bbf37d1dc9fe21f1ec1efe,0.3846197239391888,0.4923770310221247
1000019,11280000,65a5bff4ae117069b3b2b25a0add48747835cc0973819508814311b3be61fd63,0.6729686055250133,0.09119738775732689
1000021,11280000,8a0244d05dc0fadb4f05d444b2d653aacc78dc87387d5c9ab56513b2dafe179b,0.6349765768750524,0.675560186052123
1000023,11280000,6e3c24f0a7919ecf82a6b6532097136388bce76b8716cc7db23c75c366fc4939,0.5959592479371922,0.16045126771293372
